,id,title,type,description,release_year,genres,production_countries,imdb_score,actors,directors
2028,2028,the ottoman lieutenant,movie,"lillie, a determined american woman, ventures overseas to join dr. jude at a remote medical mission in the ottoman empire (now turkey). however, lillie soon finds herself at odds with jude and the mission’s founder, woodruff, when she falls for the titular military man, ismail, just as the war is about to erupt.",2017,drama|war,tr|us,6,ben-kingsley|paul-barrett|josh-hartnett|michiel-huisman|hera-hilmar|haluk-bilginer|affif-ben-badra|selçuk-yöntem|brian-caspe|begum-burian|jessica-turner|peter-hosking|hasan-say|murat-seven|bree-welch|joe-weintraub|ara-woland|aysan-sümercan,joseph-ruben
2029,2029,gad gone wild,movie,french comic gad elmaleh regales a montreal crowd with tales of awkward mix-ups and baffling customs he's encountered since moving to the u.s.,2017,comedy|european,fr,7,gad-elmaleh,mario-rouleau
2030,2030,victoria & abdul,movie,queen victoria strikes up an unlikely friendship with a young indian clerk named abdul karim.,2017,drama|comedy|history,us|gb,7,judi-dench|ali-fazal|tim-pigott-smith|eddie-izzard|adeel-akhtar|michael-gambon|paul-higgins|olivia-williams|fenella-woolgar|julian-wadham|jonathan-harden|robin-soans|ruth-mccabe|simon-callow|benjamin-haigh|will-christopherson|martyn-mayger|deano-bugatti|penny-ryder|christopher-mcmullen|rita-mcdonald-damper|sukh-ojla|grant-crookes|shaun-newnham|nigel-black|sophie-trott|andrei-csolsim|glyn-angell|lois-temel|marek-hollands|nicolas-savidis-macris|simon-craddock|tim-bristow|cliff-dutton|martin-mcgilligan|benjamin-murrell|daniel-trevenna|stuart-whelan|sam-kenyon,stephen-frears
2031,2031,private life,movie,"richard and rachel, a couple in the throes of infertility, try to maintain their marriage as they descend deeper and deeper into the insular world of assisted reproduction and domestic adoption.",2018,drama|comedy,us,7,kathryn-hahn|paul-giamatti|kayli-carter|molly-shannon|john-carroll-lynch|desmin-borges|denis-o'hare|siobhan-fallon-hogan|emily-robinson|tracee-chimo|amaya-press|samantha-buck|kerry-flanagan|danny-deferrari|alyssa-cheatham|kelly-miller|fenton-lawless|gabrielle-reidy|caroline-martin|hettienne-park|maddie-corman|katrine-hoyt,tamara-jenkins
2032,2032,great news,show,a new jersey mom puts her relationship with her daughter to the test when she lands an internship at the same tv station where her daughter works.,2017,comedy,us,7,horatio-sanz|nicole-richie|briga-heelan|adam-campbell|andrea-martin|john-michael-higgins,
2033,2033,irreplaceable you,movie,a couple who have known each other since 8 are destined to be together until death do them apart.,2018,drama|comedy|romance,us,6,"gugu-mbatha-raw|michiel-huisman|christopher-walken|steve-coogan|jacki-weaver|claire-holt|timothy-simons|gayle-rankin|kate-mckinnon|tamara-tunie|jessie-ennis|brian-tyree-henry|glenn-fleshler|zabryna-guevara|richard-holmes|sawyer-barth|celeste-o'connor|alyssa-cheatham|zachary-hernandez|grace-rex|anthony-angelo-pizza,-jr.",stephanie-laing
2034,2034,c/o kancharapalem,movie,"from a schoolboy’s crush to a middle-aged bachelor’s office romance, four love stories spanning age, religion and status unfold in a small indian town.",2018,drama,in,9,mohan-bhagath|praveena-paruchuri|karthik-rathnam|radha-bessy|praneeta-patnaik|nithya-sree|kesava-karri|kishore-kumar-polimera,venkatesh-maha
2035,2035,brij mohan amar rahe!,movie,faking his death to escape the realities of his uneventful life worked out well for brij mohan -- until he was sentenced to death for his own murder.,2018,drama|comedy|crime,in,7,arjun-mathur|sheetal-thakur|manav-vij|nidhi-singh,nikhil-nagesh-bhat
2036,2036,the most hated woman in america,movie,"the true story of madalyn murray o'hair -- iconoclast, opportunist, and outspoken atheist -- from her controversial rise to her untimely demise.",2017,crime|drama|history,us,6,melissa-leo|josh-lucas|michael-chernus|rory-cochrane|vincent-kartheiser|adam-scott|juno-temple|sally-kirkland|brandon-mychal-smith|alex-frost|peter-fonda|josé-zúñiga|marco-sanchez|ryan-cutrona|anthony-vitale|ward-roberts|david-gueriera|anna-camp|andy-walken|david-henry-begin|lynn-telzer|vivienne-taylor|alycen-malone|frankie-sims|vernon-courteaux|danya-labelle,tommy-o'haver
2037,2037,burning sands,movie,"deep into hell week, a favored pledgee is torn between honoring his code of silence or standing up against the intensifying violence of underground hazing.",2017,drama|action|thriller,us,6,trevor-jackson|alfre-woodard|steve-harris|tosin-cole|deron-horton|trevante-rhodes|serayah|imani-hakim|mitchell-edwards|nafessa-williams|racquel-bianca-john|michael-king|octavius-j.-johnson|rotimi|malik-bazille|christian-robinson|chiké-okonkwo|deji-laray|muslima-musawwir,gerard-mcmurray
2038,2038,first love,movie,"in what appears to be a serendipitous encounter upon saving the life of a stranger, the calculated and reserved businessman nick meets the impulsive and optimistic photographer ali, who believes in destiny and carpe diem, or seizing the day. nick, who seeks closure for his past mistakes, is drawn towards ali's spirit and vigor. despite living with a congenital heart disease and being on the wait-list for a heart transplant, ali continues to be hopeful about her future. ali challenges nick to seize every moment of his life before it's too late. meanwhile, nick finds a way to give ali a new lease on life - even if it means risking one's life and their love for each other.",2018,romance|drama,ph,6,bea-alonzo|aga-muhlach|edward-barber|albie-casiño|sandy-andolong|giselle-toengi|lee-o'brian,paul-soriano
